commentId,likeCount,publishDate,text
UgyTUhh6EAmdJkwQT_p4AaABAg,4685,2025-05-05T15:59:31Z,Order mom flowers on DoorDash with code MRBEAST to win $1K or a Bahamas trip!
Ugx51wSN_FipgAFQpA54AaABAg,0,2025-05-06T20:07:27Z,Mrbeast türk diyenler
UgzK8fTbjdx289VlNdR4AaABAg,0,2025-05-06T20:07:06Z,❤❤❤
UgzGcJSYo9kYQutLTH94AaABAg,0,2025-05-06T20:05:36Z,I am your fan
Ugz-W0jGgHjuiR-nIu94AaABAg,0,2025-05-06T20:04:11Z,Mister Beas
Ugz7ogvjofZVmr7nT114AaABAg,0,2025-05-06T20:03:20Z,Hello
UgyNgQw4lNEz9wKEgnV4AaABAg,1,2025-05-06T20:03:15Z,I want 20 million dollars a Lamborghini the vr head set from the ps4  a  ps5  feasible chocolate cake play station car steering wheel  and pots of gold
UgzndNFJCyT5k_w9nCJ4AaABAg,0,2025-05-06T20:00:12Z,❤🎉🎉
Ugw1m4UruZ5Xbzb9s0Z4AaABAg,0,2025-05-06T19:59:04Z,❤
Ugx5SyLZ-lSEX9-Xb1J4AaABAg,0,2025-05-06T19:56:16Z,🙏🏻🥹❤❤❤❤❤ mexico
Ugxloq215pb6fNhK77J4AaABAg,0,2025-05-06T19:55:45Z,Türkler burdamıyız
UgyTkQ1O-RC2z9p0BLh4AaABAg,0,2025-05-06T19:52:08Z,❤te escribí por integra ❤
UgySUxUUg8sl_yYD_lh4AaABAg,0,2025-05-06T19:45:42Z,Abonnement ❤❤
UgzwgdiLygDSjkWQvJJ4AaABAg,0,2025-05-06T19:42:29Z,😮
UgwpVoDkS5isUo9W14p4AaABAg,0,2025-05-06T19:42:21Z,Happy almost birthday 🎂
UgyJNtsA0wBqV2gU6vR4AaABAg,0,2025-05-06T19:42:08Z,Brasil 🇧🇷
UgxbeQv9JZBTQ8-wLKR4AaABAg,0,2025-05-06T19:41:55Z,Tamil❤
UgyVEbXceeFxHFjaWSJ4AaABAg,0,2025-05-06T19:41:36Z,Brasil 🇧🇷
Ugxf9dmp-QiNMmY71AB4AaABAg,0,2025-05-06T19:41:32Z,Brasil 🇧🇷
Ugx4ObmsGtZ3z6XIXEt4AaABAg,0,2025-05-06T19:41:27Z,Brasil 🇧🇷
UgxD6r1uInX3e7DkBY94AaABAg,0,2025-05-06T19:41:07Z,Brasil 🇧🇷
Ugy_UAa2eCxD2RhZLol4AaABAg,0,2025-05-06T19:41:02Z,Brasil 🇧🇷
UgyJ9CW8gwmprmc7mTt4AaABAg,0,2025-05-06T19:40:56Z,Brasil 🇧🇷
UgxINVR8NQQ-fxQDSJV4AaABAg,0,2025-05-06T19:40:52Z,Brasil 🇧🇷
Ugysu0Fc1HQPGep0Gv14AaABAg,0,2025-05-06T19:40:43Z,Brasil 🇧🇷
Ugw6jP3XRei0Um9bAjp4AaABAg,0,2025-05-06T19:40:39Z,Brasil 🇧🇷
Ugyd7MaTyWqgciO7x6B4AaABAg,0,2025-05-06T19:40:35Z,Brasil 🇧🇷
UgwiE5XEpocpueKsZ494AaABAg,0,2025-05-06T19:40:28Z,Brasil 🇧🇷
Ugze-1sSHqYa3PQOdVB4AaABAg,0,2025-05-06T19:40:24Z,Brasil 🇧🇷
Ugw9kgTvEEWS8qk0MJJ4AaABAg,0,2025-05-06T19:40:19Z,Brasil 🇧🇷
Ugy1S_9cfqGidWcgsBd4AaABAg,64671,2025-05-02T15:59:31Z,I should buy a safe
Ugw6DrhwySEnSYdIQFF4AaABAg,0,2025-05-06T20:07:08Z,Karl 🤧❤️❤️❤️
UgxAqedF-H7J0Dbp9pZ4AaABAg,0,2025-05-06T20:07:06Z,tareq barca fans
UgzSL9yHiOAPD08RC7J4AaABAg,0,2025-05-06T20:05:49Z,I am your fan
Ugy86ssWfLLCRw577p54AaABAg,0,2025-05-06T19:58:29Z,😂
UgzJkXaNKD1pmlaXzJd4AaABAg,0,2025-05-06T19:54:21Z,Ya compre tus barras  feastables
UgydnpNSYY6bqB27LBF4AaABAg,0,2025-05-06T19:48:37Z,هاي انت فلسطيني اللي كنت تاكل بيتزا انت عربي اعرفك انك عربي لا تخلي مستر بيست يشوفها انك خبرته راح يفرق انت عربي😅😅
UgziTKRs-IyONLAC-j94AaABAg,0,2025-05-06T19:46:05Z,türkleeer kayzer aba için buradamıyıııızzzz
Ugzp-pccsdlIs71P2LF4AaABAg,0,2025-05-06T19:42:49Z,the toilet paper
UgwpxVwpU_ZOqh6dAHB4AaABAg,0,2025-05-06T19:33:00Z,Nice
Ugzp2JSB6BKhOwnBzBt4AaABAg,0,2025-05-06T19:32:51Z,Jmd deutsch
UgyY7g4-v21WohgLGFR4AaABAg,0,2025-05-06T19:22:27Z,help
UgyhAbY1qjxBvDgsWdl4AaABAg,0,2025-05-06T19:11:14Z,🤣🤣🤣🤣🤣🤣🤣🤣🤣🤣😂😂😂
Ugw7iu3XthJl684ZA7x4AaABAg,0,2025-05-06T19:10:53Z,😊
Ugz1itktSHAqqcG5pRV4AaABAg,1,2025-05-06T19:06:32Z,Nooo el papel higienico xd
Ugx_fRcAWpFVoSvIQpZ4AaABAg,0,2025-05-06T19:05:44Z,Oloko
UgxNPBCb_SWxISb7H6N4AaABAg,0,2025-05-06T19:03:27Z,Aura
UgwnGf5jIx4xtQOUl0t4AaABAg,0,2025-05-06T19:00:46Z,en Latinoamérica les toma 1 minuto menos
UgzOGxCrMOMxDmNUlSJ4AaABAg,0,2025-05-06T18:57:30Z,Mrbeast hablas español
UgwzyhSKClaUPEOKxHZ4AaABAg,0,2025-05-06T18:54:23Z,This funny a titer is French
Ugxxu2ZX8G39JIF_N1p4AaABAg,1,2025-05-06T18:50:39Z,❤
UgwTksc0TR3inbRq-fp4AaABAg,1,2025-05-06T18:30:32Z,Slowest reation time
UgweV7hOVyG3_w4Sjn94AaABAg,0,2025-05-06T18:27:25Z,La réf à john Travolta 🤣
UgxCjWJd005M__bIupF4AaABAg,0,2025-05-06T18:22:33Z,noboa
UgyOZRcgiac_i7o3r954AaABAg,0,2025-05-06T18:16:34Z,Support me😢😢 guys😢🎉
Ugwqu72box3iqzfTEEB4AaABAg,0,2025-05-06T18:13:24Z,They even took the toilet paper 😆😆
UgwnyvtBNqT7yaUedAJ4AaABAg,0,2025-05-06T18:09:41Z,😂😂😂
UgzPNv4XFBm9oPx8ou54AaABAg,0,2025-05-06T18:03:31Z,😂
Ugw1hetDhAzpjlMFLLh4AaABAg,0,2025-05-06T17:52:56Z,ok
UgxqPZuCBEbLgIkPwf54AaABAg,0,2025-05-06T17:44:19Z,Légyszi legyen meg a megjegyzésemen 60.❤
UgzFXqY-3dUaOyJVTrx4AaABAg,62676,2025-04-29T15:59:46Z,This is why you should subscribe!
UgwR62dN_iw-VcwoDzR4AaABAg,1,2025-05-06T20:07:04Z,Vardannnnnnn
UgwC3r3gjz7zd92SIOh4AaABAg,0,2025-05-06T20:06:06Z,I am your fan
Ugw1oGMf9QoFq3WedRt4AaABAg,0,2025-05-06T20:04:32Z,😮😮😮😮
UgzVn1y-GtufWgIVlIh4AaABAg,0,2025-05-06T20:02:51Z,❤❤❤
UgwoN2JAGxfVP7NqxJx4AaABAg,0,2025-05-06T19:54:06Z,"พ่อเจอกับแม่เพราะอะไรหรอคับ
พ่อ:เพราะบิสเตอร์บีสหน่ะะ"
Ugzlxp1caBq9zGFNQI14AaABAg,0,2025-05-06T19:45:25Z,Thanks  bro
Ugz5VkcBy4Xe1HNMjlF4AaABAg,0,2025-05-06T19:39:05Z,❤❤❤❤❤❤
Ugwt13Oe568qL-0fReN4AaABAg,0,2025-05-06T19:33:23Z,Nice
Ugy7DoJk6cokZo5VZOd4AaABAg,0,2025-05-06T19:31:50Z,🍠🍠🍠
Ugw5hjNOCdxUAhHJj7V4AaABAg,0,2025-05-06T19:25:37Z,Soy yo o tiene la vos de blits de helluva voos
UgwTZ_pE1WtKujZbzYN4AaABAg,0,2025-05-06T19:22:38Z,Help
UgxIU_oam5164P4d8st4AaABAg,0,2025-05-06T19:14:07Z,Если вы перевели этот комментарий поставьте лайк😊❤
UgzoyFe7roqdm36WPkd4AaABAg,0,2025-05-06T19:13:31Z,OK thanks
Ugy4H2tz7OvRpLwOi9N4AaABAg,0,2025-05-06T19:13:11Z,Is that Jonah’s little brother from David Dobrick’s videos?
UgwiM2j-WGkT8o7CrCp4AaABAg,0,2025-05-06T19:09:59Z,😂😂😂😂😂😂
UgymqlHR6eFLxNNSqxV4AaABAg,0,2025-05-06T19:07:14Z,"なんで日本には来ないの？
来てよ"
UgzaQEl0yrFj-iAXTZZ4AaABAg,0,2025-05-06T19:03:56Z,Soy el único que hablo español aquí
UgxPVHPQDP7Deh1mQbZ4AaABAg,0,2025-05-06T18:35:29Z,❤
Ugy6m-xrVeTJkicJXXt4AaABAg,0,2025-05-06T18:35:16Z,"Bantu saya mrbeast,beli tiket pulang kampung"
UgyzzFaRQnq_BCetGCx4AaABAg,0,2025-05-06T18:35:15Z,❤
UgwSd5LbXbu8msYxaYh4AaABAg,0,2025-05-06T18:31:15Z,Мичтер бист их депнул потом
Ugwu_7tTfJNknkOImm94AaABAg,0,2025-05-06T18:28:28Z,Девушка золото
UgzOfSCgBqU3OtMDIMN4AaABAg,0,2025-05-06T18:22:02Z,Yo si de una no lo pienso jajaja
UgwkHHi7cqcG5Q_gLrd4AaABAg,0,2025-05-06T18:18:24Z,Ok.
UgyQWjxS0blf1IsL97l4AaABAg,0,2025-05-06T18:16:39Z,He asked all girls bro
UgwJ0XJY_UMOBm35ynl4AaABAg,0,2025-05-06T18:15:22Z,Tariq bhai  camra
UgxEJ4WVwd6Bz1dzrmp4AaABAg,0,2025-05-06T18:12:49Z,Türkler bur da mısınız!!!
UgzkyHrDknaEGHJA5_J4AaABAg,0,2025-05-06T18:08:59Z,আমিও আপনার থেকে গিফট পেতে চাই যিনি মিস্টার বিস্ট
Ugw3F4TOG19e-M2HofZ4AaABAg,0,2025-05-06T18:06:32Z,What
UgxT09nNNy2OHGR14yd4AaABAg,47787,2025-04-26T15:59:31Z,Subscribe for more death traps lol
UgyGmq3dpb8tcpY9Wbx4AaABAg,0,2025-05-06T20:07:42Z,Türk varmi 👉👉👉👉👉👉
Ugy-kmC8GPDADunoAjh4AaABAg,0,2025-05-06T20:06:13Z,"Desde Ecuador🇪🇨🇪🇨, admiro como logras hacer que todos quieran ser parte de tus  retos. ¡Sería genial vivir una experiencia así!"
Ugx-I4v1DT4LFewegdN4AaABAg,0,2025-05-06T20:04:07Z,আমি বাংলাদেশ থেকে আমাকে আপনি সাহায্য করেন 😭😭😭😭😭😭😭😭😭😔😔😔
Ugyeb9aYD8sdDuSDJhN4AaABAg,0,2025-05-06T20:03:43Z,Hola mrbeast❤
UgynOyj_DRAIxkbEsL54AaABAg,0,2025-05-06T20:03:01Z,كم خصمت له من المال في مرحلة القبر❤
UgwiOtdUvcCBxRlIoo54AaABAg,0,2025-05-06T20:01:39Z,That is dangerous
UgwUWzIbY1b9CCfOjo14AaABAg,0,2025-05-06T20:00:55Z,Türkiyeyi seven kaç kişiyiz🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
UgyaQ3LdgCbVFDiftrp4AaABAg,0,2025-05-06T19:56:37Z,😮😮😮😮
UgyvKlVo6rEtrCp_Yxp4AaABAg,2,2025-05-06T19:44:50Z,Türkler burda mıyız 🇹🇷🇹🇷
Ugz6nOq2KKudzmc-_E14AaABAg,0,2025-05-06T19:43:09Z,😎😎😎😎😎😎😎🔥🔥🔥🔥🔥🔥🔥🔥
UgxqwrszkWnthiCt5Qt4AaABAg,0,2025-05-06T19:40:39Z,Ya me suscribi😊 mi celular soy México.
UgzzShvPGIJw_tUSUF54AaABAg,0,2025-05-06T19:38:07Z,Егор
UgzsMpmEJ-QE0cLru4F4AaABAg,0,2025-05-06T19:37:57Z,Егорик круче мистер биста
UgzphOP7L4tPFGldfMh4AaABAg,0,2025-05-06T19:34:00Z,The memes about him are slowly turning from jokes to reality
UgzRQ_6LMqP1V7-V0MJ4AaABAg,0,2025-05-06T19:31:57Z,ami korote cai
UgwtZ4tubEmlGvsHxiR4AaABAg,0,2025-05-06T19:27:45Z,Türkler Buradamı🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷🇹🇷
UgwRxTYkRHqrXeNwSiB4AaABAg,1,2025-05-06T19:24:01Z,Je suis trop loin pour vivre un truc du genre ! C'est juste super
UgxCgbI2H_5mGakmWWJ4AaABAg,1,2025-05-06T19:22:46Z,DONT DO ONE GORRILA VS 100 MEN BRO PLS 🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽🙏🏽
UgwJ6rgqNq6Dxo6bIvZ4AaABAg,0,2025-05-06T19:18:44Z,"Türkler burdamı
👇"
UgxO0XNquKr2l_wX3uV4AaABAg,0,2025-05-06T19:12:13Z,Türkler ses verin beni banlayamaz
UgwA4AtY9p6OECVYOhN4AaABAg,0,2025-05-06T19:11:33Z,Mrbeast eres el mejor
UgxkbKsgvSfqxA_u7R54AaABAg,0,2025-05-06T19:10:06Z,"haram haram 
no faier many"
UgyxC_ect9EoucMFUYp4AaABAg,0,2025-05-06T19:01:57Z,Are there any English people here ?
Ugx94oBCPHnr8wlVqoN4AaABAg,0,2025-05-06T19:01:50Z,G
UgxPaoeJKvByaIbpAol4AaABAg,0,2025-05-06T18:59:36Z,Enna tamilla kekuthu😂
Ugx-LsOrJ_5cmuz6OpF4AaABAg,0,2025-05-06T18:59:19Z,hello youtuber
UgyjvtxRcGIJg7p_hAh4AaABAg,0,2025-05-06T18:58:22Z,if he makes 100 men vs 1 gorilla hahaha
